file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,133,css,8ac681aa,Shaily-28,2025-11-01,15:25:11,-07:00,2025-11-01T15:25:11-07:00,1,10
style.css,134,css,8ac681aa,Shaily-28,2025-11-01,15:25:11,-07:00,2025-11-01T15:25:11-07:00,0,0
style.css,135,css,8ac681aa,Shaily-28,2025-11-01,15:25:11,-07:00,2025-11-01T15:25:11-07:00,0,13
style.css,136,css,8ac681aa,Shaily-28,2025-11-01,15:25:11,-07:00,2025-11-01T15:25:11-07:00,1,34
style.css,137,css,8ac681aa,Shaily-28,2025-11-01,15:25:11,-07:00,2025-11-01T15:25:11-07:00,1,11
style.css,138,css,8ac681aa,Shaily-28,2025-11-01,15:25:11,-07:00,2025-11-01T15:25:11-07:00,1,20
style.css,139,css,8ac681aa,Shaily-28,2025-11-01,15:25:11,-07:00,2025-11-01T15:25:11-07:00,0,0
style.css,140,css,8ac681aa,Shaily-28,2025-11-01,15:25:11,-07:00,2025-11-01T15:25:11-07:00,0,0
style.css,141,css,8eb77ed3,Shaily-28,2025-10-10,17:46:54,-07:00,2025-10-10T17:46:54-07:00,0,22
style.css,142,css,8eb77ed3,Shaily-28,2025-10-10,17:46:54,-07:00,2025-10-10T17:46:54-07:00,1,15
style.css,143,css,8eb77ed3,Shaily-28,2025-10-10,17:46:54,-07:00,2025-10-10T17:46:54-07:00,1,17
style.css,144,css,8eb77ed3,Shaily-28,2025-10-10,17:46:54,-07:00,2025-10-10T17:46:54-07:00,0,0
style.css,145,css,8eb77ed3,Shaily-28,2025-10-10,17:46:54,-07:00,2025-10-10T17:46:54-07:00,0,2
style.css,146,css,8eb77ed3,Shaily-28,2025-10-10,17:46:54,-07:00,2025-10-10T17:46:54-07:00,1,14
style.css,147,css,8eb77ed3,Shaily-28,2025-10-10,17:46:54,-07:00,2025-10-10T17:46:54-07:00,0,0
style.css,148,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,0,8
style.css,149,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,1,12
style.css,150,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,1,58
style.css,151,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,1,11
style.css,152,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,1,22
style.css,153,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,0,0
style.css,154,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,0,10
style.css,155,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,1,24
style.css,156,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,0,0
style.css,157,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,0,13
style.css,158,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,1,32
style.css,159,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,0,0
style.css,160,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,0,19
style.css,161,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,1,18
style.css,162,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,1,12
style.css,163,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,0,0
style.css,164,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,0,11
style.css,165,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,1,12
style.css,166,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,1,47
style.css,167,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,1,18
style.css,168,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,1,81
style.css,169,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,0,0
style.css,170,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,0,14
style.css,171,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,1,19
style.css,172,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,1,22
style.css,173,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,1,47
style.css,174,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,1,15
style.css,175,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,1,17
style.css,176,css,6631ef16,Shaily-28,2025-10-10,20:16:03,-07:00,2025-10-10T20:16:03-07:00,0,0
style.css,177,css,38e8f8e8,Shaily-28,2025-10-13,15:43:20,-07:00,2025-10-13T15:43:20-07:00,0,13
style.css,178,css,38e8f8e8,Shaily-28,2025-10-13,15:43:20,-07:00,2025-10-13T15:43:20-07:00,1,25
style.css,179,css,38e8f8e8,Shaily-28,2025-10-13,15:43:20,-07:00,2025-10-13T15:43:20-07:00,1,15
style.css,180,css,84187aac,Shaily-28,2025-10-22,23:29:01,-07:00,2025-10-22T23:29:01-07:00,0,0
style.css,181,css,84187aac,Shaily-28,2025-10-22,23:29:01,-07:00,2025-10-22T23:29:01-07:00,0,17
style.css,182,css,84187aac,Shaily-28,2025-10-22,23:29:01,-07:00,2025-10-22T23:29:01-07:00,1,12
style.css,183,css,84187aac,Shaily-28,2025-10-22,23:29:01,-07:00,2025-10-22T23:29:01-07:00,1,36
style.css,184,css,84187aac,Shaily-28,2025-10-22,23:29:01,-07:00,2025-10-22T23:29:01-07:00,1,14
style.css,185,css,84187aac,Shaily-28,2025-10-22,23:29:01,-07:00,2025-10-22T23:29:01-07:00,0,0
style.css,186,css,84187aac,Shaily-28,2025-10-22,23:29:01,-07:00,2025-10-22T23:29:01-07:00,0,50
style.css,187,css,84187aac,Shaily-28,2025-10-22,23:29:01,-07:00,2025-10-22T23:29:01-07:00,0,43
style.css,188,css,d2138457,Shaily-28,2025-11-01,16:22:22,-07:00,2025-11-01T16:22:22-07:00,0,0
style.css,189,css,d2138457,Shaily-28,2025-11-01,16:22:22,-07:00,2025-11-01T16:22:22-07:00,0,18
style.css,190,css,53e345ac,Shaily-28,2025-11-01,16:33:37,-07:00,2025-11-01T16:33:37-07:00,1,14
style.css,191,css,0ab01f58,Shaily-28,2025-11-01,16:52:17,-07:00,2025-11-01T16:52:17-07:00,1,23
style.css,192,css,d2138457,Shaily-28,2025-11-01,16:22:22,-07:00,2025-11-01T16:22:22-07:00,1,16
style.css,193,css,d2138457,Shaily-28,2025-11-01,16:22:22,-07:00,2025-11-01T16:22:22-07:00,0,0
style.css,194,css,017ede74,Shaily-28,2025-11-01,19:26:15,-07:00,2025-11-01T19:26:15-07:00,0,18
style.css,195,css,017ede74,Shaily-28,2025-11-01,19:26:15,-07:00,2025-11-01T19:26:15-07:00,1,14
style.css,196,css,017ede74,Shaily-28,2025-11-01,19:26:15,-07:00,2025-11-01T19:26:15-07:00,1,13
style.css,197,css,017ede74,Shaily-28,2025-11-01,19:26:15,-07:00,2025-11-01T19:26:15-07:00,1,21
style.css,198,css,017ede74,Shaily-28,2025-11-01,19:26:15,-07:00,2025-11-01T19:26:15-07:00,1,16
style.css,199,css,017ede74,Shaily-28,2025-11-01,19:26:15,-07:00,2025-11-01T19:26:15-07:00,0,0
style.css,200,css,b1504d0f,Shaily-28,2025-11-01,19:53:52,-07:00,2025-11-01T19:53:52-07:00,0,7
